Year,Beer,Wine,Spirits,All beverages
1950,1.04,0.23,0.77,2.04
1951,1.03,0.2,0.78,2.01
1952,1.04,0.21,0.73,1.98
1953,1.04,0.2,0.77,2.01
1954,1.01,0.21,0.74,1.96
1955,1.01,0.22,0.77,2
1956,1,0.22,0.81,2.03
1957,0.97,0.22,0.8,1.99
1958,0.96,0.22,0.8,1.98
1959,1,0.22,0.84,2.06
1960,0.99,0.22,0.86,2.07
1961,0.97,0.23,0.86,2.06
1962,0.99,0.22,0.9,2.11
1963,1.01,0.23,0.91,2.15
1964,1.04,0.24,0.95,2.23
1965,1.04,0.24,0.99,2.27
1966,1.06,0.24,1.02,2.32
1967,1.07,0.25,1.05,2.37
1968,1.09,0.26,1.1,2.45
1969,1.12,0.26,1.13,2.51
1970,1.14,0.27,1.11,2.52
1971,1.15,0.31,1.12,2.59
1972,1.17,0.3,1.09,2.56
1973,1.2,0.31,1.1,2.62
1974,1.25,0.31,1.11,2.67
1975,1.26,0.32,1.11,2.69
1976,1.27,0.32,1.1,2.69
1977,1.29,0.29,1.06,2.64
1978,1.33,0.31,1.07,2.71
1979,1.37,0.32,1.06,2.75
1980,1.38,0.34,1.04,2.76
1981,1.39,0.35,1.02,2.76
1982,1.38,0.36,0.98,2.72
1983,1.37,0.36,0.96,2.69
1984,1.35,0.37,0.94,2.65
1985,1.33,0.38,0.9,2.62
1986,1.34,0.39,0.84,2.58
1987,1.34,0.38,0.82,2.54
1988,1.33,0.36,0.79,2.48
1989,1.31,0.34,0.77,2.42
1990,1.34,0.33,0.77,2.45
1991,1.29,0.3,0.71,2.3
1992,1.29,0.3,0.71,2.3
1993,1.26,0.28,0.68,2.23
1994,1.25,0.28,0.65,2.18
1995,1.23,0.29,0.63,2.15
1996,1.23,0.3,0.63,2.16
1997,1.22,0.3,0.62,2.14
1998,1.22,0.3,0.62,2.14
1999,1.23,0.31,0.62,2.16
2000,1.22,0.31,0.64,2.17
2001,1.23,0.31,0.64,2.18
2002,1.23,0.33,0.64,2.2
2003,1.21,0.34,0.67,2.22
2004,1.21,0.35,0.68,2.24
2005,1.19,0.36,0.7,2.25
2006,1.2,0.37,0.71,2.28
2007,1.21,0.38,0.72,2.31
2008,1.2,0.38,0.73,2.31
2009,1.17,0.39,0.74,2.29
2010,1.14,0.38,0.74,2.26
2011,1.12,0.41,0.76,2.29
2012,1.13,0.42,0.78,2.34
2013,1.12,0.42,0.8,2.34